model,layer,head,delta_half_a,delta_half_b,delta_pooled,cos_self,cos_null,excess
EleutherAI/pythia-160m,2,6,0.039483911850872744,0.007565666647518121,0.023524789249195432,0.4121524174146997,0.132907881158871,0.2792445362558287
EleutherAI/pythia-160m,2,7,0.010670381433823373,0.02644078871783062,0.018555585075826997,0.4115330362554998,0.3559292858386898,0.05560375041680998
EleutherAI/pythia-160m,2,8,0.05196829403147962,0.019420399385339238,0.03569434670840943,0.4771198523154279,0.1705059795573451,0.30661387275808283
EleutherAI/pythia-160m,2,9,0.013319576487821116,0.009711770450366863,0.01151567346909399,0.3607411844479122,0.10570871239093173,0.2550324720569805
EleutherAI/pythia-160m,2,10,0.051390255198758616,0.027701433967140865,0.03954584458294974,0.4351072502130665,0.211566663179688,0.2235405870333785
EleutherAI/pythia-160m,2,11,0.023878209731157618,0.025305355296414866,0.024591782513786242,0.48850355293328945,0.10421902304960072,0.3842845298836887
EleutherAI/pythia-160m,3,0,0.019598119399126368,0.0073399263269759984,0.013469022863051183,0.4013914962216698,0.10377622365693545,0.29761527256473436
EleutherAI/pythia-160m,3,1,0.03155966366038587,0.005820779239429363,0.018690221449907618,0.2442500761418487,0.09938900777254848,0.14486106836930024
EleutherAI/pythia-160m,3,2,0.07466888427734375,0.05669941621668162,0.06568415024701268,0.26406446880913836,0.0958278911393097,0.16823657766982866
EleutherAI/pythia-160m,3,3,0.06435349408318025,0.06504193474264675,0.0646977144129135,0.8719757815654381,0.34567451207522026,0.5263012694902178
EleutherAI/pythia-160m,3,4,0.016696705537683876,0.007067512063418491,0.011882108800551183,0.34700948406181703,0.14903820613207042,0.19797127792974661
EleutherAI/pythia-160m,3,5,0.02760584214154349,0.01430511474609375,0.02095547844381862,0.33959965740246184,0.17134619504584614,0.1682534623566157
EleutherAI/pythia-160m,3,6,0.017892725327435244,-0.009884105009192012,0.004004310159121616,0.33373950729349766,0.25424277961631914,0.07949672767717852
EleutherAI/pythia-160m,3,7,0.026818668141084245,-0.0038950303021607624,0.011461818919461741,0.49027731816373077,0.2827595699284173,0.2075177482353135
EleutherAI/pythia-160m,3,8,0.032042110667508616,-0.011493907255285762,0.010274101706111427,0.3508420989518868,0.20127581541203304,0.14956628353985374
EleutherAI/pythia-160m,3,9,0.011284772087545747,0.00993885713465037,0.010611814611098058,0.38473565678952454,0.11013703383681941,0.2745986229527051
EleutherAI/pythia-160m,3,10,0.04911490047679212,0.007717356962316124,0.028416128719554123,0.39864016445138406,0.20987070988437959,0.18876945456700447
EleutherAI/pythia-160m,3,11,0.0055156034581802516,-0.013358172248391753,-0.003921284395105751,0.34557244288805683,0.2724257589020245,0.07314668398603236
EleutherAI/pythia-160m,4,0,0.022673662971047115,-0.004992316750919379,0.008840673110063868,0.333710601761419,0.18111425404496917,0.1525963477164498
EleutherAI/pythia-160m,4,1,0.0019495346966911242,-0.0018027810489433804,7.33768238738719e-05,0.30896201643499205,0.34361808968578217,-0.03465607325079012
EleutherAI/pythia-160m,4,2,0.023573931525734615,-0.011263679055606879,0.006155126235063868,0.35653957996301644,0.14352984054987877,0.21300973941313767
EleutherAI/pythia-160m,4,3,0.02515680649701224,0.009650286506203365,0.017403546501607803,0.38424588106471114,0.30577577917520254,0.07847010188950859
EleutherAI/pythia-160m,4,4,0.02477578555836324,0.016389285816865495,0.020582535687614367,0.27136171035661055,0.12255527900325384,0.1488064313533567
EleutherAI/pythia-160m,4,5,0.01944238999310599,0.007009618422563868,0.01322600420783493,0.32290630834210343,0.12481492929165604,0.19809137905044738
EleutherAI/pythia-160m,4,6,0.01523859360638724,-0.01363597196691213,0.0008013108197375551,0.411305758208477,0.4061322379471168,0.005173520261360198
EleutherAI/pythia-160m,4,7,0.027467166676240495,0.003789116354549371,0.015628141515394933,0.3718047281223328,0.19069207253869536,0.18111265558363743
EleutherAI/pythia-160m,4,8,0.01444782930261912,0.005815393784466494,0.010131611543542807,-0.010492887987746927,0.017265551848978208,-0.027758439836725136
EleutherAI/pythia-160m,4,9,0.011279835420496376,0.00024548698874049535,0.0057626612046184356,0.4250362201074087,0.22173437065765167,0.20330184944975704
EleutherAI/pythia-160m,4,10,0.009800181669347374,-0.012681848862592382,-0.0014408335966225039,0.31699962121787956,0.27093073741955925,0.046068883798320304
EleutherAI/pythia-160m,4,11,0.007898667279411242,-0.005257550407859135,0.0013205584357760536,0.21388597525645073,0.2240802641378691,-0.010194288881418379
