model,layer,head,cos_self,cos_null,excess,n,kv_group,n_kv_heads,cos_across_group,status,run_id
gpt2,7,6,0.4631546222842085,0.3426645898614721,0.12049003242273643,13781,6,12,nan,completed,7600d12b0536
gpt2,7,7,0.4020195464140231,0.23339914967664455,0.16862039673737855,13781,7,12,nan,completed,7600d12b0536
gpt2,7,8,0.4999250796953936,0.20627824796698274,0.2936468317284109,13781,8,12,nan,completed,7600d12b0536
gpt2,7,9,0.3171301417620845,0.12117630088070679,0.19595384088137768,13781,9,12,nan,completed,7600d12b0536
gpt2,7,10,0.3714696530218322,0.3319212519179826,0.039548401103849606,13781,10,12,nan,completed,7600d12b0536
gpt2,7,11,0.19452019569666867,0.1577490093621119,0.03677118633455678,13781,11,12,nan,completed,7600d12b0536
gpt2,8,0,0.4144371266293317,0.25769639054639426,0.15674073608293743,13781,0,12,nan,completed,7600d12b0536
gpt2,8,1,0.3030703328442473,0.2140027368144568,0.08906759602979047,13781,1,12,nan,completed,7600d12b0536
gpt2,8,2,0.30279764284522254,0.2538567218767845,0.04894092096843805,13781,2,12,nan,completed,7600d12b0536
gpt2,8,3,0.390569679017076,0.25215453791411097,0.13841514110296504,13781,3,12,nan,completed,7600d12b0536
gpt2,8,4,0.446757229404621,0.2303545744836206,0.2164026549210004,13781,4,12,nan,completed,7600d12b0536
gpt2,8,5,0.5757107553155905,0.2796289679700448,0.2960817873455457,13781,5,12,nan,completed,7600d12b0536
gpt2,8,6,0.45038613345584144,0.2665120550369834,0.18387407841885806,13781,6,12,nan,completed,7600d12b0536
gpt2,8,7,0.5425285058901458,0.19808250160102459,0.3444460042891212,13781,7,12,nan,completed,7600d12b0536
gpt2,8,8,0.5243871641826088,0.3199924331787442,0.20439473100386457,13781,8,12,nan,completed,7600d12b0536
gpt2,8,9,0.5119797127198954,0.264965841826688,0.24701387089320742,13781,9,12,nan,completed,7600d12b0536
gpt2,8,10,0.6469070518053944,0.2831202708607017,0.36378678094469274,13781,10,12,nan,completed,7600d12b0536
gpt2,8,11,0.3286690651744878,0.18934279506991758,0.13932627010457022,13781,11,12,nan,completed,7600d12b0536
gpt2,9,0,0.4392734460561695,0.24826301545585872,0.1910104306003108,13781,0,12,nan,completed,7600d12b0536
gpt2,9,1,0.3461790490857977,0.30004459909305253,0.046134449992745186,13781,1,12,nan,completed,7600d12b0536
gpt2,9,2,0.4537976537155051,0.3055230280884078,0.1482746256270973,13781,2,12,nan,completed,7600d12b0536
gpt2,9,3,0.695083981090522,0.3639634108162621,0.33112057027425995,13781,3,12,nan,completed,7600d12b0536
gpt2,9,4,0.2996401873973677,0.22686120363851278,0.07277898375885491,13781,4,12,nan,completed,7600d12b0536
gpt2,9,5,0.6116888325942521,0.3296064854967668,0.2820823470974853,13781,5,12,nan,completed,7600d12b0536
gpt2,9,6,0.20936231732324456,0.16384316992208034,0.04551914740116422,13781,6,12,nan,completed,7600d12b0536
gpt2,9,7,0.39514574076993636,0.27227061017811527,0.12287513059182109,13781,7,12,nan,completed,7600d12b0536
gpt2,9,8,0.3255744222379883,0.28085174691710263,0.044722675320885696,13781,8,12,nan,completed,7600d12b0536
gpt2,9,9,0.31217878519887865,0.26892029873688955,0.0432584864619891,13781,9,12,nan,completed,7600d12b0536
gpt2,9,10,0.501664110404829,0.1633389352003334,0.33832517520449557,13781,10,12,nan,completed,7600d12b0536
