model,layer,head,delta_half_a,delta_half_b,delta_pooled,cos_self_half_a,cos_self,cos_self_half_b,cos_null_half_a,cos_null,cos_null_half_b,excess_half_a,excess,excess_half_b
EleutherAI/pythia-410m,6,13,0.00722810039370092,0.0003450648991139005,0.0037865826464074104,0.3993143289421984,0.3993143289421984,0.3965828218588142,0.1520736810757986,0.1520736810757986,0.13898209076197782,0.24724064786639982,0.24724064786639982,0.2576007310968364
EleutherAI/pythia-410m,6,14,0.0022864154004675896,0.0017491137887546415,0.0020177645946111156,0.24722560097797477,0.24722560097797477,0.23729223512226222,0.1546166934114294,0.1546166934114294,0.14191828469611822,0.09260890756654538,0.09260890756654538,0.095373950426144
EleutherAI/pythia-410m,6,15,0.0037810558409203665,0.002837173582062036,0.003309114711491201,0.4391156101780585,0.4391156101780585,0.4332518552907885,0.23058008667614083,0.23058008667614083,0.22171443223461984,0.20853552350191767,0.20853552350191767,0.21153742305616868
EleutherAI/pythia-410m,7,0,0.015926811638779625,0.006360872523991201,0.011143842081385413,0.9840135627653538,0.9840135627653538,0.9802672934835762,0.2732447701237895,0.2732447701237895,0.26813469961356046,0.7107687926415642,0.7107687926415642,0.7121325938700158
EleutherAI/pythia-410m,7,1,0.002269114096333791,2.4750476746771e-05,0.001146932286540281,0.08749143484440566,0.08749143484440566,0.10216317487201049,0.1351220796305121,0.1351220796305121,0.1463003994199909,-0.04763064478610643,-0.04763064478610643,-0.044137224547980414
EleutherAI/pythia-410m,7,2,0.010241891455462504,0.00551767424335603,0.007879782849409267,0.3625346257010339,0.3625346257010339,0.3310088715234506,0.17111495100986918,0.17111495100986918,0.15853089568069934,0.19141967469116472,0.19141967469116472,0.17247797584275126
EleutherAI/pythia-410m,7,3,0.00285111074372546,0.003716656542199548,0.003283883642962504,0.45843238215864274,0.45843238215864274,0.4568300241498534,0.1447796282732081,0.1447796282732081,0.1402545250658409,0.3136527538854347,0.3136527538854347,0.3165754990840125
EleutherAI/pythia-410m,7,4,0.010816679226131942,0.011654590997169922,0.011235635111650932,0.25953638017766767,0.25953638017766767,0.27623675199964154,0.24837640495350002,0.24837640495350002,0.2440269707619095,0.011159975224167645,0.011159975224167645,0.03220978123773205
EleutherAI/pythia-410m,7,5,-0.0032807597963828705,0.00031815175935046014,-0.0014813040185162052,0.4420510652218016,0.4420510652218016,0.43109286076449593,0.1435979770907974,0.1435979770907974,0.13022736385597306,0.2984530881310042,0.2984530881310042,0.3008654969085229
EleutherAI/pythia-410m,7,6,0.0030676173412893526,0.006032388041338432,0.0045500026913138925,0.41446382816371413,0.41446382816371413,0.4140964453467653,0.15116809254877608,0.15116809254877608,0.1573654884814379,0.263295735614938,0.263295735614938,0.25673095686532743
EleutherAI/pythia-410m,7,7,-0.0016152689776083307,0.002551702063853245,0.0004682165431224572,0.01738473102088614,0.01738473102088614,0.035594881626430715,0.0024509432615491458,0.0024509432615491458,0.010599883546171985,0.014933787759336995,0.014933787759336995,0.024994998080258728
EleutherAI/pythia-410m,7,8,0.004203015425074064,0.006134513794906482,0.005168764609990273,0.2890941043697257,0.2890941043697257,0.28984324991648736,0.17844632089396895,0.17844632089396895,0.17334795699996108,0.11064778347575677,0.11064778347575677,0.11649529291652627
EleutherAI/pythia-410m,7,9,0.0076812984436513965,0.008321927288385655,0.008001612866018526,0.457584375815051,0.457584375815051,0.447618262401019,0.28950394282950437,0.28950394282950437,0.2725611534079872,0.16808043298554665,0.16808043298554665,0.17505710899303178
EleutherAI/pythia-410m,7,10,0.002630038524237044,0.0026660829078490877,0.002648060716043066,0.33767243241443684,0.33767243241443684,0.3331734204933013,0.12093422291803992,0.12093422291803992,0.11649574978843262,0.21673820949639694,0.21673820949639694,0.21667767070486865
EleutherAI/pythia-410m,7,11,0.011046642393577777,0.014335572250245843,0.01269110732191181,0.469093492374516,0.469093492374516,0.4709480465821798,0.3591488987690283,0.3591488987690283,0.3524760918875791,0.1099445936054877,0.1099445936054877,0.1184719546946007
EleutherAI/pythia-410m,7,12,0.005326158418430094,-0.00030998169906526485,0.0025080883596824144,0.5612561959425059,0.5612561959425059,0.5367051669093483,0.1779996804068419,0.1779996804068419,0.16799763671913168,0.383256515535664,0.383256515535664,0.3687075301902166
EleutherAI/pythia-410m,7,13,0.00537109375,0.0019271730437990797,0.00364913339689954,0.2690545339750974,0.2690545339750974,0.24136140970406939,0.13059967614429666,0.13059967614429666,0.11771973300669761,0.13845485783080072,0.13845485783080072,0.12364167669737178
EleutherAI/pythia-410m,7,14,-0.0006463959461120439,0.007338396207554165,0.0033460001307210607,0.2532572231277987,0.2532572231277987,0.237617263753615,0.12670582194920288,0.12670582194920288,0.112033009522118,0.1265514011785958,0.1265514011785958,0.125584254231497
EleutherAI/pythia-410m,7,15,0.002837894469734259,-0.00038687638410461744,0.0012255090428148208,0.33704860162636285,0.33704860162636285,0.295264788911955,0.17050968141809228,0.17050968141809228,0.13762828094886653,0.16653892020827057,0.16653892020827057,0.15763650796308848
EleutherAI/pythia-410m,8,0,0.005413385826771755,0.013058639886810663,0.00923601285679121,0.4882933406689467,0.4882933406689467,0.47563094089379654,0.21254004484216432,0.21254004484216432,0.21504388149735781,0.2757532958267824,0.2757532958267824,0.2605870593964387
EleutherAI/pythia-410m,8,1,0.006948155680979173,0.0108298955001227,0.008889025590550936,0.48561760095237233,0.48561760095237233,0.4661020728642526,0.1548914941304219,0.1548914941304219,0.14452430483223938,0.33072610682195047,0.33072610682195047,0.3215777680320132
EleutherAI/pythia-410m,8,2,0.0017851581723671295,0.00786296213705695,0.00482406015471204,0.43324566467824804,0.43324566467824804,0.41784706021360934,0.13616325442137533,0.13616325442137533,0.128535170775914,0.2970824102568727,0.2970824102568727,0.28931188943769537
EleutherAI/pythia-410m,8,3,0.00455168476254908,-0.0004012941375495238,0.002075195312499778,0.45544424407027,0.45544424407027,0.47443942353472957,0.14668705647608832,0.14668705647608832,0.15239910868054288,0.3087571875941817,0.3087571875941817,0.3220403148541867
EleutherAI/pythia-410m,8,4,0.006519708107775468,-0.0023577832800198983,0.002080962413877785,0.23326421507222292,0.23326421507222292,0.22219361196228035,0.15140738187989783,0.15140738187989783,0.13847317390745795,0.08185683319232509,0.08185683319232509,0.0837204380548224
EleutherAI/pythia-410m,8,5,-5.550835076295613e-05,0.005498931163877785,0.0027217114065574144,0.7047092524983417,0.7047092524983417,0.6954122113033453,0.18576546253908727,0.18576546253908727,0.18138551972476386,0.5189437899592544,0.5189437899592544,0.5140266915785814
EleutherAI/pythia-410m,8,6,0.008578323003813892,0.007519579309177793,0.008048951156495843,0.18994917242946507,0.18994917242946507,0.1995922212194293,0.21992528767900443,0.21992528767900443,0.22339893117401877,-0.02997611524953936,-0.02997611524953936,-0.023806709954589472
EleutherAI/pythia-410m,8,7,0.007448451725516669,0.006675660140870843,0.007062055933193756,0.04386688458686284,0.04386688458686284,0.01947626968475969,0.06831657801203296,0.06831657801203296,0.05088835968909711,-0.024449693425170123,-0.024449693425170123,-0.031412090004337416
EleutherAI/pythia-410m,8,8,-0.0033800019992615837,0.008506955124261584,0.0025634765625,0.3941954734331604,0.3941954734331604,0.3758707274946072,0.2616523655806877,0.2616523655806877,0.2427428121066801,0.1325431078524727,0.1325431078524727,0.1331279153879271
EleutherAI/pythia-410m,8,9,0.005961741049458791,0.00324639748400557,0.00460406926673218,0.2781015918179137,0.2781015918179137,0.2857076318968064,0.28349766077376104,0.28349766077376104,0.2877436822517859,-0.005396068955847322,-0.005396068955847322,-0.0020360503549795017
EleutherAI/pythia-410m,8,10,0.027181309977854173,0.026506318820743058,0.026843814399298616,0.2976095083683636,0.2976095083683636,0.2648036660428889,0.23484603308141655,0.23484603308141655,0.20846479108034577,0.06276347528694703,0.06276347528694703,0.05633887496254314
EleutherAI/pythia-410m,8,11,0.005228117695005086,0.005643829585999072,0.005435973640502079,0.2962132258668253,0.2962132258668253,0.2919034428930926,0.22819115281343572,0.22819115281343572,0.22272568748637725,0.06802207305338959,0.06802207305338959,0.06917775540671536
EleutherAI/pythia-410m,8,12,0.005993940698818978,0.012158731775959719,0.009076336237389349,0.3926200808503007,0.3926200808503007,0.3678668689225467,0.12138696039574452,0.12138696039574452,0.10184059985978568,0.27123312045455616,0.27123312045455616,0.26602626906276106
EleutherAI/pythia-410m,8,13,0.003790667676550008,0.009745199849286124,0.006767933762918066,0.3548306914269737,0.3548306914269737,0.3500310130089145,0.3127016218411897,0.3127016218411897,0.30472756771573933,0.042129069585783996,0.042129069585783996,0.04530344529317515
EleutherAI/pythia-410m,8,14,0.009956419937254157,0.0007151205708662012,0.005335770254060179,0.3724860193241696,0.3724860193241696,0.3592638100377375,0.2177092130445999,0.2177092130445999,0.2032313385912794,0.1547768062795697,0.1547768062795697,0.1560324714464581
EleutherAI/pythia-410m,8,15,0.0052036075141486116,0.004082867479699548,0.00464323749692408,0.48116966930138005,0.48116966930138005,0.47672590632650447,0.3055894454066397,0.3055894454066397,0.2992744535047263,0.17558022389474037,0.17558022389474037,0.17745145282177816
EleutherAI/pythia-410m,9,0,0.0026831439160925896,0.006383940929502785,0.004533542422797687,0.10616568236001354,0.10616568236001354,0.1061637103988397,0.0853029602569169,0.0853029602569169,0.07243954175994692,0.020862722103096643,0.020862722103096643,0.033724168638892785
EleutherAI/pythia-410m,9,1,0.004395492433562964,0.005417470856914353,0.004906481645238658,0.4169716141892337,0.4169716141892337,0.41348719736288153,0.22014985481371357,0.22014985481371357,0.21623473925402092,0.1968217593755201,0.1968217593755201,0.1972524581088606
EleutherAI/pythia-410m,9,2,0.011243925319881942,0.000823974609375,0.006033949964628471,0.38131486489711364,0.38131486489711364,0.3926250539027747,0.2346032637880436,0.2346032637880436,0.230918143225305,0.14671160110907003,0.14671160110907003,0.1617069106774697
EleutherAI/pythia-410m,9,3,0.00417033518393195,0.005196879229207418,0.004683607206569684,0.4139433671161415,0.4139433671161415,0.4236825803461115,0.20506566876767776,0.20506566876767776,0.20429453288606078,0.20887769834846373,0.20887769834846373,0.21938804746005072
